130;Rians;83560;43.607;5.7569
131;Ruffec;16700;46.0284;0.2031
132;Louveciennes;78430;48.8626;2.111
133;Saint Denis;93200;48.9337;2.3595
134;Chenehutte-les-Tuffeaux;49350;47.337;-0.2341
135;Trêves;49350;47.337;-0.2341
136;Candes-Saint-Martin;37500;47.2113;0.0745
137;Magny les Hameaux;78114;48.7241;2.0876
138;Béthancourt en Valois;60129;49.2845;2.878
139;Gilocourt;60129;49.2967;2.8642
140;Giornico;CH-6745;46.4022;8.8766
141;Cernay la ville;78720;48.6722;1.9626
142;Cunault;49350;47.337;-0.2341
143;Fontevraud;49590;47.182;0.0502
144;Etampes;91150;48.4371;2.1632
145;Etampes;91150;48.4371;2.1632
146;Etampes;91150;48.4371;2.1632
147;Les Rues des Vignes;59258;50.0779;3.2566
148;Brioude;43100;45.2689;3.3646
149;Mozac;63200;45.9094;3.1247
150;Blesle;43450;45.3173;3.1623
151;Saint Paulien;43350;45.1601;3.8152
152;Lamontgie;63570;45.4489;3.3414
153;Issoire;63500;45.5468;3.2519
154;Bourbon l'Archambault;03160;46.5817;3.0578
155;Ségry;36100;46.9139;1.9459
156;Royat;63130;45.7579;3.0403
157;Orcival;63210;45.7041;2.8466
158;Clermont-Ferrand;63100;45.7964;3.1148
159;Ennezat;63720;45.9061;3.2354
160;Saint Nectaire;63710;45.6023;2.9726
161;Saint Saturnin;63450;45.6588;3.083
162;Ineuil;18160;46.7847;2.1802
163;Le Puy en Velay;43000;45.0565;3.8646
164;Ygrande;03160;46.6104;3.0196
165;Le Puy en Velay;43000;45.0565;3.8646
166;Saint-Julien-Chapteuil;43260;45.0391;4.0511
167;Bruere-Allichamps;18200;46.7361;2.4967
168;Lavaudieu;43100;45.2689;3.3646
169;;;43.9587;4.5437
170;Bourges;18000;47.0749;2.4045
171;Saulieu;21210;47.2796;4.2294
172;Cannes;06406;43.5509;7.0106
173;Clermont-ferrand;63100;45.7964;3.1148
