; This Ascii PoiFile was generated on 29/07/2007 by PoiEdit, ©2002-2007 by Dnote Software (http://www.dnote.nl). All rights reserved.
-0.7391, 46.3714, "[Roman nv] 85 Maillezais (Saint Nicolas de Maillezais)*"
0.8667, 46.426, "[Roman nv] 86 Montmorillon (Montmorillon)*"
2.3497, 48.853, "[Gothique nv] 75 Paris (Notre Dame de Paris)*"
-0.6072, 46.3643, "[Roman nv] 85 Benet (Benet)*"
-0.7889, 46.3424, "[Roman nv] 85 Maillé (Maillé)*"
0.4134, 46.5107, "[Roman nv] 86 Nouaillé-Maupertuis (Abbaye de Nouaillé-Maupertuis)*"
2.34476, 48.8555, "[Gothique nv] 75 Paris (Sainte Chapelle)*"
2.36862, 49.2037, "[Gothique nv] 60 Précy sur Oise (Saint Pierre et Saint Paul de Précy sur Oise)*"
2.417, 49.2171, "[Roman-Gothique nv] 60 Saint Leu d'Esserent (Saint Nicolas)*"
2.35561, 49.1321, "[Cistercien nv] 95 Asnière sur Oise (Abbaye de Royaumont)*"
0.86583, 46.5652, "[Roman nv] 86 Saint Savin sur Gartempe (Saint Savin)*"
5.2011, 43.9112, "[Cistercien nv] 84 Gordes (Abbaye de Sénanque)*"
5.3101, 43.7164, "[Cistercien nv] 13 La Roque-d'Anthéron (Abbaye de Silvacane)*"
2.9593, 43.8338, "[Cistercien nv] 12 Sylvanès (Abbaye de Sylvanès)*"
6.3081, 43.4501, "[Cistercien nv] 83 Le Thoronet (Abbaye du Thoronet)*"
-0.3031, 46.0239, "[Roman nv] 17 St Mandé sur Brédoire (St Mandé sur Brédoire)*"
2.3056, 47.8098, "[Roman-Bénédictin nv] 45 Saint-Benoît-sur-Loire (Abbaye de Saint-Benoît-sur-Loire)*"
-0.6807, 46.4225, "[Roman nv] 85 Nieul sur l'Autise (Abbaye Royale de Nieul sur l'Autise)*"
-0.7692, 46.5724, "[Roman nv] 85 Vouvant (Vouvant)*"
-0.6371, 45.7474, "[Roman nv] 17 Saintes (Saint Eutrope Eglise Haute)*"
1.2475, 45.0633, "[Roman nv] 24 Saint-Amand de Coly (Saint-Amand de Coly)*"
0.754, 45.4197, "[Cistercien nv] 24 Villars (Abbaye cistercienne de Boschaud)*"
0.9086, 44.8439, "[Cistercien nv] 24 Le Buisson de Cadouin (Abbaye cistercienne de Cadouin)*"
0.8588, 44.9051, "[Roman nv] 24 Paunat (Abbaye Saint Martial de Paunat)*"
1.2042, 44.7987, "[Roman nv] 24 Cenac et Saint Julien (Eglise de Cenac)*"
0.9209, 45.4144, "[Roman nv] 24 Thiviers (Eglise de Thiviers)*"
0.9473, 44.8807, "[Roman nv] 24 Audrix (Eglise d'Audrix)*"
2.17607, 49.0718, "[Gothique nv] 95 Auvers sur Oise (Eglise de l'assomption d'Auvers sur Oise)*"
2.11798, 49.0456, "[Cistercien nv] 95 Saint-Ouen-l'Aumône (Abbaye Notre-Dame-La-Royale dite de Maubuisson)*"
0.6553, 45.21, "[Roman nv] 24 Merlande (Prieuré de Merlande)*"
2.186, 49.0638, "[Gothique nv] 95 Méry sur Oise (Eglise de Méry sur Oise)*"
0.8944, 44.6822, "[Roman nv] 24 Monpazier (Bastide de Monpazier)*"
0.8309, 44.8761, "[Roman nv] 24 Trémolat (Notre Dame de Trémolat)*"
-0.14973, 46.2202, "[Roman nv] 79 Melle (Saint Hilaire)*"
4.8522, 44.4763, "[Cistercien nv] 26 Montjoyer (Abbaye cistercienne d'Aiguebelle)*"
4.6278, 43.6766, "[Roman nv] 13 Arles (Facade de Saint Trophime d'Arles)*"
4.6278, 43.6766, "[Roman nv] 13 Arles (Saint Trophime d'Arles)*"
4.6278, 43.6766, "[Roman nv] 13 Arles (Saint Honorat des Alyscamps)*"
