"Lieu";"Style";;"Type";"Nom";"Rank";"Département";"Source";"Lang";"Présentation";"URL"
"Silvacanne";"Provence";;"Abbaye";;;;;"FR";"Autres photos";"http://cistels.free.fr/Abbayes/Silvacane/page_photos.htm"
"Sylvanès";;;"Eglise";;;;;"FR";"Historique";"http://www.sylvanes.com/abbaye/Default.htm"
"Sylvanès";;;"Eglise";;;;;"FR";"Positionnement";"http://www.aveyron-decouvertes.com/tourisme_patrimoine/abbaye_sylvanes.htm"
"Thoronet";"Provence";;"Abbaye";;;;;"FR";"Présentation";"http://www.provenceweb.fr/83/centre-var/abbaye.htm"
"Thoronet";"Provence";;"Abbaye";;;;;"FR";"Intérieur";"http://lsinzelle.free.fr/france/provence/thor/thoronet.htm"
"Thoronet";"Provence";;"Abbaye";;;;;"FR";"Visite virtuelle";"http://perso.wanadoo.fr/sylvain.weisse/thoronet/thorof.htm"
"Vézelay";;;;;;;;"FR";"Présentation et architecture";"http://architecture.relig.free.fr/vezelay.htm"
"Vézelay";;;;;;;;"FR";"Histoire";"http://www.bourgogne-tourisme.com/patrimoine/vezelay_.htm"
"Vézelay";;;;;;;;"FR";"Unesco";"http://whc.unesco.org/sites/fr/84.htm"
"Vézelay";;;;;;;;"US";"Architecture et intérieur";"http://www.beloit.edu/~arthist/historyofart/gothic/vezelay.htm"
"Caen";"Normandie";;"Abbaye";"aux Dames";;;;"FR";"Historique";"http://www.cr-basse-normandie.fr/vf/consreg/abbaye/adet.htm"
"Caen";"Normandie";;"Abbaye";"aux Dames";;;;"FR";"Architecture et Chapîteaux";"http://www.art-roman.net/caendames.htm"
"Caen";"Normandie";;"Abbaye";"aux Dames";;;;"FR";"Présentation et architecture";"http://architecture.relig.free.fr/caen_abbayes.htm"
"Caen";"Normandie";;"Abbaye";"aux Hommes";;;;"FR";"Historique";"http://abbaye-aux-hommes.cef.fr/index3.htm"
"Chartres";;;"Cathédrale";"Notre Dame";;;;"FR";"Détails des vitraux";"http://membres.lycos.fr/philetus/Chartres/m/thumbnails.html"
"Chartres";;;"Cathédrale";"Notre Dame";;;;"FR";"Présentation et architecture";"http://architecture.relig.free.fr/chartres.htm"
"Dampierre sur Boutonne";;;"Château";;;;;"FR";"Château";"http://www.chateau-dampierre.com/"
"Dampierre sur Boutonne";;;"Château";;;;;"FR";"Caissons";"http://www.chateau-dampierre.com/caissons.html"
"Dampierre sur Boutonne";;;"Château";;;;;"FR";"Alchimie";"http://www.cgjung.net/alchimie/1997/"
"Dampierre sur Boutonne";;;"Château";;;;;"FR";"Demeure philosophale";"http://www.contrepoints.com/histoire/dampierre/dampierre.html"
"Précy sur Oise";;;"Eglise";"Saint Pierre et Saint Paul";"**";"Oise (60)";;"FR";"Orgue Narcisse Martin";"http://membres.lycos.fr/organum/orgprecy.html"
"Paris";;;"Cathédrale";"Notre Dame";"***";"Paris (75)";;"FR";"Présentation et architecture";"http://architecture.relig.free.fr/ndp.htm"
"Paris";;;"Cathédrale";"Notre Dame";"***";"Paris (75)";;"FR";"Portail Alchimique";"http://architecture.reli2.free.fr/male13.htm"
"Reims";;;"Cathédrale";"Notre Dame";"***";;;"FR";"Présentation et architecture";"http://architecture.relig.free.fr/reims.htm"
