"Lieu";"Style";;"Type";"Nom";"Rank";"Département";"Source";"Lang";"Présentation";"URL"
"Mont-devant-Sassey ";"Lorraine romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/montdevantsassey.htm"
"Conques";"Rouergue roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/conques/conques.htm"
"Bessuéjouls";"Rouergue roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/bessuejouls/bessuejouls.htm"
"Perse (espalion)";"Rouergue roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/perse/perse.htm"
"Cayssac";"Rouergue roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/cayssac/cayssac.htm"
"Bozouls";"Rouergue roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/bozouls/bozouls.htm"
"Neuvy-Saint-Sépulcre";"Berry roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/neuvy.htm"
"Brinay";"Berry roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/brinay.htm"
"Plaimpied";"Berry roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/plaimpied.htm"
"Neuilly-en-Dun";"Berry roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/neuilly-en-d.htm"
"Nohant-Vicq";"Berry roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/nohant.htm"
"Rucqueville";"Normandie romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/rucqueville.htm"
"Caen";"Normandie romane";;"Abbaye";"aux Dames";"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/caendames.htm"
"Lessay";"Normandie romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/lessay.htm"
"Tollevast";"Normandie romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/tollevast.htm"
"Cerisy-la-Forêt";"Normandie romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/cerisy.htm"
"Huriel";"Bourbonnais roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/huriel.htm"
"Saint-Désiré";"Bourbonnais roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/stdesire.htm"
"Saint-Menoux";"Bourbonnais roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/stmenoux.htm"
"Bourbon-l'Archambault";"Bourbonnais roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/bourbonlar.htm"
"La Garde-Adhémar";"Provence romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/gardead.htm"
"Montmajour";"Provence romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/montmajour.htm"
"Saint-Paul-de-Mausolle";"Provence romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/mausolle.htm"
"Saint-Paul-Trois-Châteaux";"Provence romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/stpaultrois.htm"
"Aleyrac";"Provence romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/aleyrac.htm"
"Vaison-la-romaine";"Provence romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/vaison.htm"
"Arles";"Provence romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/arles.htm"
"Parthenay-le-Vieux";"Vendée romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/parthenay.htm"
"La Chaize-le-Vicomte";"Vendée romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/chaize.htm"
"Vouvant";"Vendée romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/vouvant.htm"
"Foussais";"Vendée romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/foussais.htm"
"Orcival";"Auvergne romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/orcival.htm"
"Mauriac";"Auvergne romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/mauriac/mauriac.htm"
"Brioude";"Auvergne romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/brioude/brioude.htm"
"Mozac";"Auvergne romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/mozac/mozac.htm"
"Issoire";"Auvergne romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/issoire/issoire.htm"
"Albi";;;"Cathédrale";"Sainte Cécile";"***";"Tarn";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/albi.htm"
"Amiens";;;"Cathédrale";"Notre Dame  ";"***";"Somme";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/amiens.htm"
"Angers";;;"Cathédrale";"Saint Maurice";"***";"Maine et Loire";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/angers.htm"
"Autun";;;"Cathédrale";"Saint Lazare";"***";"Saône et Loire";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/autun.htm"
"Avignon";;;"Cathédrale";"Notre Dame des Doms";"***";"Vaucluse";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/avignon_doms.htm"
"Bayeux";;;"Cathédrale";"Notre Dame";"***";"Calvados";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/bayeux.htm"
"Beauvais";;;"Cathédrale";"Saint Pierre";"***";"Oise";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/bvs.htm"
"Bourges";;;"Cathédrale";"Saint Etienne";"***";"Cher";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/bourges.htm"
"Bourges";;;"Cathédrale";"Saint Etienne";"***";"Cher";;"FR";"Vitraux";"http://membres.lycos.fr/philetus/Bourges/indexfr.htm"
"Cahors";;;"Cathédrale";"Saint Etienne";"***";"Lot";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/cahors.htm"
"Chartres";;;"Cathédrale";"Notre Dame";"***";"Eure et Loir";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/chartres.htm"
"Dijon";;;"Cathédrale";"Saint Benigne";"***";"Côte d'Or";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/dijon_benigne.htm"
"Elne";;;"Cathédrale";"Sainte Eulalie";"***";"Pyrénées Orientales";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/elne.htm"
"Laon";;;"Cathédrale";"Notre Dame";"***";"Aisne";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/laon.htm"
"Lodève";;;"Cathédrale";"Saint Fulcran";"***";"Hérault";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/lodeve.htm"
"Lyon";;;"Cathédrale";"Saint Jean";"***";"Rhône";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/lyon_jean.htm"
"Lyon";;;"Primatiale";"Saint-Jean-Baptiste";"**";"Rhône";"Notes Romanes";"FR";;"http://notes.romanes.free.fr/images/rhone/lyon/stjean/photos.htm"
"Lyon";;;"Basilique";"Saint-Martin d'Ainay";"***";"Rhône";"Notes Romanes";"FR";;"http://notes.romanes.free.fr/images/rhone/lyon/ainay/photos.htm"
"Lyon";;;"Eglise";"Saint Paul";"*";"Rhône";"Notes Romanes";"FR";;"http://notes.romanes.free.fr/images/rhone/lyon/stpaul/photos.htm"
"Aigueperse";;;"Eglise";"Sainte Marie Magdeleine";"*";"Rhône";"Notes Romanes";"FR";;"http://notes.romanes.free.fr/images/rhone/aigueperse/photos.htm"
"Belleville";;;"Eglise";"Notre Dame de Miséricorde";;"Rhône";"Notes Romanes";"FR";;"http://notes.romanes.free.fr/images/rhone/belleville/photos.htm"
"Charnay";;;"Eglise";"Saint Christophe";"**";"Rhône";"Notes Romanes";"FR";;"http://notes.romanes.free.fr/images/rhone/charnay/photos.htm"
"Chatillon d'Azergues";;;"Chapelle";"Notre-Dame-duBon-Secours";;"Rhône";"Notes Romanes";"FR";;"http://notes.romanes.free.fr/images/rhone/chatillon/photos.htm"
"Salles-Arbuissonas-en-Beaujolais";;;"Eglise";"Saint Martin";"***";"Rhône";"Notes Romanes";"FR";;"http://notes.romanes.free.fr/images/rhone/salles/photos.htm"
"Taluyers";;;"Eglise";"Sainte Marie";"***";"Rhône";"Notes Romanes";"FR";;"http://notes.romanes.free.fr/images/rhone/taluyers/photos.htm"
"Mans";;;"Cathédrale";"Saint Julien";"***";"Sarthe";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/mans.htm"
"Meaux";;;"Cathédrale";"Saint Etienne";"***";"Seine et Marne";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/meaux.htm"
"Metz";;;"Cathédrale";"Saint Etienne";"***";"Moselle";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/metz.htm"
"Narbonne";;;"Cathédrale";"Saint Just et Saint Pasteur";"***";"Aude";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/narbonne.htm"
"Noyon";;;"Cathédrale";"Notre Dame";"***";"Oise";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/noyon.htm"
"Paris";;;"Cathédrale";"Notre Dame";"***";"Paris";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/ndp.htm"
"Le Puy";;;"Cathédrale";"Notre Dame";"***";"Haute-Loire";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/puy.htm"
"Reims";;;"Cathédrale";"Notre Dame";"***";"Marne";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/reims.htm"
"Rodez";;;"Cathédrale";"Notre Dame";"***";"Aveyron";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/rodez.htm"
"Rouen";;;"Cathédrale";"Notre Dame";"***";"Seine Maritime";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/rouen.htm"
"Saint Bertrand de Comminges";;;"Cathédrale";"Sainte-Marie";"***";"Haute-Garonne";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/comminges.htm"
"Saint Denis";;;"Basilique";"Notre Dame";"***";"Seine Saint Denis";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/denis.htm"
"Senlis";;;"Cathédrale";"Notre Dame";"***";"Oise";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/senlis.htm"
"Soissons ";;;"Cathédrale";"Saint Gervais et Saint Protais";"***";"Aisne";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/soissons.htm"
"Strasbourg";;;"Cathédrale";"Notre Dame";"***";"Bas-Rhin";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/strasbourg.htm"
"Alet les Bains";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/alet.htm"
"Arles-sur-Tech";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/arles_tech.htm"
"Beaulieu";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/beaulieu.htm"
"Beaulieu-lèsloches";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/beaulieu_loches.htm"
"Beaulieu-sur-Dordogne";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/beaulieu_dordogne.htm"
"Caen";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/caen_abbayes.htm"
"Saint Martin du Canigou";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/canigou.htm"
"Caunes-Minervois";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/caunes.htm"
"Chaalis";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/chaalis.htm"
"Cluny";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/cluny.htm"
"Conques";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/conques.htm"
"Epau";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/epau.htm"
"Fontaine Guérard";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/fontaine_guerard.htm"
"Fontevraud";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/fontevraud.htm"
"Fontfroide";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/fontfroide.htm"
"Jumiège";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/jumieges.htm"
"Lagrasse";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/lagrasse.htm"
"Marcevol";;;"Prieuré";;"***";;"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/marcevol.htm"
"Moissac";;"Cistercien";"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/moissac.htm"
"Noirlac";;"Cistercien";"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/noirlac.htm"
"Ourscamp";;;"Abbaye";;"***";"Oise";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/ourscamp.htm"
"Royaumont";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/royaumont.htm"
"Saint Benoît sur Loire";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/benoit_loire.htm"
"Boscherville";;;"Abbaye";"Saint Georges";"***";"Val d'Oise";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/boscherville.htm"
"Saint Germer de Fly";;;"Abbaye";;"***";"Oise";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/germer.htm"
"Saint Guilhem le Désert";;;"Abbaye";;"***";"Hérault";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/guilhem.htm"
"Saint Papoul";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/papoul.htm"
"Saint Wandrille";;;"Abbaye";;"***";"Seine Maritime";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/wandrille.htm"
"Souillac";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/souillac.htm"
"Serrabone";;;"Prieuré";;"***";;"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/serrabone.htm"
"Toulouse";;;"Couvent";"des Jacobins";"***";;"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/toulouse_jacobins.htm"
"Villeneuve-lès-Avignon";;;"Chartreuse";"Val de Bénédiction";"***";"Gard";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/avignon_chartreuse.htm"
"Vauclair";;;"Abbaye";;"***";"Aisne";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/vauclair.htm"
"Vendôme";;;"Abbaye";;"***";"Loir et Cher";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/vendome.htm"
"Vézelay";;;"Abbaye";;"***";;"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/vezelay.htm"
"Villelongue";;"Cistercien";"Abbaye";;"***";"Aude";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/villelongue.htm"
"Villefranche de Rouergue ";;;"Chartreuse";"Saint Sauveur";"***";"Aveyron";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/sauveur.htm"
"Avignon";;;"Chapelle";"Palais des Papes";"***";"Vaucluse";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/avignon_papes.htm"
"Avignon";;;"Chapelle";"pont Saint Bénezet";"***";"Vaucluse";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/avignon_benezet.htm"
"Beauvais";;;"Eglise";"Saint Etienne ";"***";"Oise";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/beauv.htm"
"Carcassonne";;;"Eglise";"Saint Nazaire";"***";"Aude";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/nazaire.htm"
"Carcassonne";;;"Eglise";"Saint Michel et Saint Vincent ";"***";"Aude";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/carcassonne_michel.htm"
"Castelnaudary";;;"Eglise";"Saint Michel ";"***";"Aude";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/castelnaudary.htm"
"Corneilla de Conflent";;;"Eglise";"Sainte Marie";"***";"Pyrénées Orientales";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/corneilla.htm"
"Cunault";;;"Eglise";"Notre Dame";"***";"Maine et Loire";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/cunault.htm"
"Dijon";;;"Eglise";"Notre Dame";"***";"Côte d'Or";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/dijon_dame.htm"
"Germigny des Prés";;;"Eglise";;"***";"Loiret";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/germigny.htm"
"Loches";;;"Eglise";"Saint Ours";"***";"Indre et Loire";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/loches.htm"
"Morienval";;;"Eglise";"Notre Dame";"***";"Oise";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/morienval.htm"
"Paris";;;"Eglise";"Saint Germain l'Auxerrois";"***";"Paris";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/auxerrois.htm"
"Paris";;;"Chapelle";"Sainte Chapelle";"***";"Paris";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/chapelle.htm"
"Espalion";;;"Eglise";"Saint Hilarian de Perse";"***";"Aveyron";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/perse.htm"
"Poitiers";;;"Eglise";"Notre Dame la Grande";"***";"Vienne";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/poitiers_ndg.htm"
"Poitiers";;;"Eglise";"Saint Hilaire";"***";"Vienne";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/poitiers_hilaire.htm"
"Quarante";;;"Eglise";"Sainte Marie";"***";"Hérault";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/quarante.htm"
"Rieux Minervois";;;"Eglise";"Notre Dame";"***";"Aude";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/rieux.htm"
"Rouen";;;"Eglise";"Saint Ouen";"***";"Seine Maritime";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/ouen.htm"
"Saint Quentin";;;"Basilique";"Saint Quentin";"***";"Aisne";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/quentin.htm"
"Saintes";;;"Eglise";"Saint Eutrope";"***";"Charente Maritimes";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/saintes_eutrope.htm"
"Saintes";;;"Eglise";"Saint Pierre";"***";"Charente Maritimes";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/saintes_pierre.htm"
"Talmont";;;"Eglise";"Sainte Radegonde";"***";"Charente Maritimes";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/talmont.htm"
"Toulouse";;;"Eglise";"Saint Sernin";"***";"Haute Garonne";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/sernin.htm"
"Valcabrère";;;"Eglise";"Saint Just  ";"***";"Haute Garonne";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/valcabrere.htm"
"Villeneuve d'Aveyron";;;"Eglise";"Saint Sépulcre";"***";"Aveyron";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/villeneuve_aveyron.htm"
"Montréal";;;"Eglise";;"***";"Aude";"Architecture Religieuse";"FR";;"http://architecture.reli2.free.fr/aude_eglises.htm"
"Chaumont en Vexin";;;"Eglise";;"***";"Oise";"Architecture Religieuse";"FR";;"http://architecture.relig.free.fr/picardie_eglises.htm"
"Morienval";;;"Eglise";"Notre Dame";"***";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/morhist.html "
"Rocquemont";;;"Eglise";"Saint Laurent";"***";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/rocquemont.html"
"Bémont";;;"Eglise";"St Laurent";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/russybemont.html"
"Feigneux";;;"Eglise";"Saint Martin";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/feigneux.html"
"Duvy";;;"Eglise";"Saint Pierre";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/duvy.html"
"Auger Saint Vincent";;;"Eglise";"Saint Caprais";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/augerstv.html"
"Trumilly";;;"Eglise";"Notre Dame";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/trumilly.html"
"Vérine";;;"Eglise";"St Rieul";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/verines.html"
"Néry";;;"Eglise";"Saint Martin";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/nery.html"
"Crépy en Vallois";;;"Eglise";;"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/crepyegl.html"
"Coyolles";;;"Eglise";"Notre Dame";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/coyolles.html"
;;;"Abbaye";"Notre Dame";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/parcauxdam.html"
"Morcourt";;;"Eglise";"Notre Dame";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/morcourt.html"
"Glaignes";;;"Eglise";"Notre Dame";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/glaignes.html"
"Séry";;;"Eglise";"Sainte Marie";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/sery.html"
"Longmont";;;"Eglise";"Saint Vaast";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/stvaast.html"
"Saintimes";;;"Eglise";"Saint Denis";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/saintines.html"
"Bethisy";;;"Eglise";"Saint Pierre";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/bethisystpierre.html"
"Orrouy";;;"Eglise";"Saint Rémy";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/orrouy.html"
"Gilocourt";;;"Eglise";"Saint Martin";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/gilocourt.html"
"Béthancourt";;;"Eglise";"Saint Sulpice";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/bethancourt.html"
"Fresnoy la rivière";;;"Eglise";"Saint Denis";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/fresnoy.html"
"Vattier-Voisin";;;"Eglise";"Saint Marcoul";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/vattiervoisin.html"
"Pondron";;;"Eglise";"Notre Dame";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/pondron.html"
"Berval";;;"Eglise";"St Antoine et St Vincent";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/berval.html"
"Bonneuil en Valois";;;"Eglise";"Saint Martin";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/bonneuil.html"
"Emeville";;;"Eglise";"Saint Léger";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/emeville.html"
"Largny";;;"Eglise";"Saint Denis";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/largny.html"
"Haramont";;;"Eglise";"Saint Clément ";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/haramont.html"
"Vez";;;"Eglise";"Saint Martin";"*";"Oise";;"FR";;"http://membres.lycos.fr/les35clochers/vezeglise.html"
"Saint Benoît sur Loire";;;"Abbaye";"Saint Fleury";"***";"Auvergne";;"FR";;"http://abbaye.chez.tiscali.fr/index3.htm"
"Clermont-Ferrand";;;"Eglise";"Notre Dame du Port";"***";"Auvergne";;"FR";;"http://perso.wanadoo.fr/marc.champommier/port.html"
"Saint Saturnin";;;"Eglise";"Saint Saturnin";"***";"Auvergne";;"FR";;"http://perso.wanadoo.fr/marc.champommier/st-sat.html"
"Saint Nectaire";;;"Eglise";"Saint Nectaire";"***";"Auvergne";;"FR";;"http://perso.wanadoo.fr/marc.champommier/st-nect.html"
"Orcival";;;"Eglise";"Notre Dame";"***";"Auvergne";;"FR";;"http://perso.wanadoo.fr/marc.champommier/orcival.html"
"Issoire";;;"Eglise";"Saint Ostremoine";"***";"Auvergne";;"FR";;"http://perso.wanadoo.fr/marc.champommier/issoire.html"
"Mozac";;;"Eglise";"Saint Pierre";"***";"Auvergne";;"FR";;"http://perso.wanadoo.fr/marc.champommier/mozac.html"
"Ennezat";;;"Eglise";"Saint-Victor et Sainte-Couronne";"***";"Auvergne";;"FR";;"http://perso.wanadoo.fr/marc.champommier/ennezat.html"
"Orcival";;;"Eglise";"Notre Dame";"**";"Auvergne";"Ministère de la Culture";"FR";;"http://www.culture.fr/culture/inventai/itiinv/orcival/orci01.htm"
"Sénanque";"Provence";"Cistercien";"Abbaye";;"****";;;;;"http://notes.romanes.free.fr/images/cistercien/senanque/photos.htm"
"Warluis";;"Cistercien";"Abbaye";"Saint Arnoult";"**";"Oise";"Contrepoints";"FR";;"http://www.contrepoints.com/adama/abbaye.html"
"Pont Sainte Maxence";;;"Abbaye Royale";"Moncelle";"*";"Oise";;;;"http://www.chantilly-tourisme.com/uk/tourist_sites_next.php"
"Tournus";;;"Abbaye";"Saint Philibert";"**";;"CIER";"FR";;"http://www.art-roman.org/abbaye.htm"
"Chauny";;;;;;;;;;"http://photo.lrx.free.fr/chauny1.htm"
"Ourscamp";;;"Abbaye";;;;;;;"http://photo.lrx.free.fr/ourscamp-1.htm"
"Blérancourt";;;;;;;;;;"http://photo.lrx.free.fr/blerancourt.htm"
"Pierrefond";;;"Château";;;;;;;"http://photo.lrx.free.fr/pierrefonds1.htm"
"Noyon";;;"Cathédrale";;;;;;;"http://photo.lrx.free.fr/noyon.htm"
"Laon";;;"Cathédrale";;;;;;;"http://photo.lrx.free.fr/laon1.htm"
"Prémontré";;;;;;;;;;"http://photo.lrx.free.fr/pierre-1.htm"
"La Thiérache";;;"Eglise";;;;;;;"http://photo.lrx.free.fr/eglifort1.htm"
"Vauclair";;;;;;;;;;"http://photo.lrx.free.fr/vauc_chdame1.htm"
"Soissons ";;;"Cathédrale";;;;;;;"http://photo.lrx.free.fr/soissons1.htm"
"Longpont";;;"Abbaye";;;;;;;"http://photo.lrx.free.fr/longpont.htm"
"Cordelle";;;"Eglise";;;;;;;"http://catholique-sens-auxerre.cef.fr/cordelle/indexar.htm"
