"Id";;"Editeur";"Collection/Ref";"Lang";"Titre";"Auteur";"Année";"ISBN";"Image";"URL"
124;;"Zodiaque";"TM  ";"FR";"Vierges romanes";"René Laurentin, Raymond Oursel";;2736900472;"http://images-eu.amazon.com/images/P/2736900472.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2736900472/qid=1070961720/sr=1-3/ref=sr_1_0_3/402-5551720-9281739"
125;;"Zodiaque";"FN";"FR";"Art Médiéval en Irlande";;;;;
126;;"Zodiaque";"FN";"FR";"Chartres Révélé";;;;;
127;;"Zodiaque";"FN";"FR";"Espagne romane";;;;;
128;;"Zodiaque";"FN";"FR";"Europe cistercienne";;;;;
129;;"Zodiaque";"FN";"FR";"Europe des monastères ";;;;;
130;;"Zodiaque";"FN";"FR";"Europe musulmane";;;;;
131;;"Zodiaque";"FN";"FR";"France romane I   XIe s.";"Raymond Oursel";;2736901711;"http://images-eu.amazon.com/images/P/2736901711.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2736901711/qid=1070961720/sr=1-8/ref=sr_1_0_8/402-5551720-9281739"
132;;"Zodiaque";"FN";"FR";"France romane II  XIIe s.";"Raymond Oursel";;2736901754;"http://images-eu.amazon.com/images/P/2736901754.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2736901754/qid=1070961720/sr=1-18/ref=sr_1_0_18/402-5551720-9281739"
133;;"Zodiaque";"FN";"FR";"Lombards";;;;;
134;;"Zodiaque";"FN";"FR";"Miroir de l'invisible (peint. Géorgie 6/15°)";;;;;
135;;"Zodiaque";"FN";"FR";"Serbie au Moyen Age";;;;;
136;;"Zodiaque";"FN";"FR";"Arménie au Moyen Age";;;;;
137;;"Zodiaque";"FN";"FR";"Cappadoce médiévale";;;;;
138;;"Zodiaque";"FN";"FR";"Jugements derniers";;;;;
139;;"Zodiaque";"VL";"FR";"Clartés de St Benoît sur Loire";;;;;
140;;"Zodiaque";"VL";"FR";"Lumières de Vézelay";"Raymond Oursel";;2736902033;"http://images-eu.amazon.com/images/P/2736902033.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2736902033/qid=1070961720/sr=1-10/ref=sr_1_0_10/402-5551720-9281739"
141;;"Zodiaque";"VL";"FR";"Mystère de Fontenay";;;;;
142;;"Zodiaque";"VL";"FR";"Maître de Cabestany";;;;;
143;;"Zodiaque";"VL";"FR";"Sénanque";;;;;
144;;"Zodiaque";"PA";"FR";"Ateliers de la Renaissance";;;;;
145;;"Zodiaque";"PA";"FR";"Chantiers médiévaux";;;;;
146;;"Zodiaque";"PA";"FR";"Le Monde roman";;;;;
147;;"Zodiaque";"PA";"FR";"La Renaissance . L'art du XVIe";;;;;
148;;"Zodiaque";"PA";"FR";"Quattrocento";;;;;
149;;"Zodiaque";"PA";"FR";"Pélerinages";;;;;
150;;"Zodiaque";"CC";"FR";"Aulnay";;;;;
151;;"Zodiaque";"CC";"FR";"Autun";;;;;
152;;"Zodiaque";"CC";"FR";"Champagne-sur-Rhone";;;;;
153;;"Zodiaque";"CC";"FR";"Chartres extérieur en anglais)";;;;;
154;;"Zodiaque";"CC";"FR";"Chartres extérieur en français)";;;;;
155;;"Zodiaque";"CC";"FR";"Le Dorat";;;;;
156;;"Zodiaque";"CC";"FR";"Le Puy";;;;;
157;;"Zodiaque";"CC";"FR";"Lessay";;;;;
158;;"Zodiaque";"CC";"FR";"Moissac";;;;;
159;;"Zodiaque";"CC";"FR";"Notre-Dame-du-Port";;;;;
160;;"Zodiaque";"CC";"FR";"Poitiers";;;;;
161;;"Zodiaque";"CC";"FR";"PONTIGNY  (nouvelle présentation).";;;;;
162;;"Zodiaque";"CC";"FR";"Romainmotier";;;;;
163;;"Zodiaque";"CC";"FR";"SAINT GUILHEM (nouvelle présentation)";;;;;
164;;"Zodiaque";"CC";"FR";"Saint-Bertrand";;;;;
165;;"Zodiaque";"CC";"FR";"Saint-Front";;;;;
166;;"Zodiaque";"CC";"FR";"Saint-Gaudens";;;;;
167;;"Zodiaque";"CC";"FR";"Saint-Germain-des-Prés";;;;;
168;;"Zodiaque";"CC";"FR";"Saint-Sernin";;;;;
169;;"Zodiaque";"CC";"FR";"Trésor de Sens";;;;;
170;;"Zodiaque";"CC";"FR";"Vignory";;;;;
171;;"Zodiaque";"VD";"FR";"De la nuit à l'aurore  2 volumes";;;;;
172;;"Zodiaque";"VD";"FR";"Lettres d'Anne Dangar";;;;;
173;;"Zodiaque";"VD";"FR";"Max Jacob: Les propos et les jours";;;;;
174;;"Zodiaque";"VD";"FR";"Max Jacob: Saint-Benoit et l'abb. Fleury";;;;;
175;;"Zodiaque";"VD";"FR";"Points de vue sur l'art abs. et l'art s.";;;;;
176;;"Zodiaque";"RM";"FR";"arts et sagesses de l'Afrique Noire";;;;;
177;;"Zodiaque";"RM";"FR";"art et spiritualité de l'Inde";;;;;
178;;"Zodiaque";"RM";"FR";"art et sagesses de la Chine";;;;;
